route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,block_code,vehicle_type
tallinna-lin_bus_1A,50696,206,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,207,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,208,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,209,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,210,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,211,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
tallinna-lin_bus_1A,50696,212,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,213,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,214,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,215,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,216,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
tallinna-lin_bus_1A,50696,217,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,218,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,219,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,220,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,221,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
tallinna-lin_bus_1A,50696,222,"Viru keskus",1,175386,tallinna-lin_bus_1A_b-a,1,1A-05,L
tallinna-lin_bus_1A,50696,223,"Viru keskus",1,175387,tallinna-lin_bus_1A_b-a,1,1A-02,L
tallinna-lin_bus_1A,50696,224,"Viru keskus",1,175385,tallinna-lin_bus_1A_b-a,1,1A-01,L
tallinna-lin_bus_1A,50696,225,"Viru keskus",1,175389,tallinna-lin_bus_1A_b-a,1,1A-03,L
tallinna-lin_bus_1A,50696,226,"Viru keskus",1,175388,tallinna-lin_bus_1A_b-a,1,1A-04,L
