stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
132923,47305-1,"Külakõrtsu",,59.22055,24.53237,,,,4105
9330,23348-1,"Reedi",,59.23407,24.50399,,,,9330
132928,47310-1,"Saksa",,59.23728,24.49903,,,,4110
132929,47318-1,"Saksa",,59.23732,24.49911,,,,4111
132920,23399-1,"Ülesoo",,59.19794,24.59852,,,,4102
4907,21904-1,"Allika",,59.18671,24.48159,,,,4907
4908,21903-1,"Allika",,59.18736,24.48059,,,,4908
142295,21978-1,"Ehala",,59.16884,24.49954,,,,5894
142316,21979-1,"Ehala",,59.16879,24.49984,,,,5912
138954,47345-1,"Harutee",,59.23900,24.48741,,,,5732
138955,47346-1,"Harutee",,59.23904,24.48752,,,,5733
144714,21991-1,"Järveotsa",,59.16288,24.50229,,,,6002
144715,21990-1,"Järveotsa",,59.16251,24.50233,,,,6003
4910,21921-1,"Kääbastemägi",,59.19784,24.47002,,,,4910
14849,21960-1,"Kääbastemägi",,59.19921,24.46898,,,,14849
4913,21936-1,"Muusika",,59.21768,24.46928,,,,4913
4914,21935-1,"Muusika",,59.21757,24.46935,,,,4914
139317,47352-1,"Sinilille",,59.20599,24.46504,,,,5767
139318,47353-1,"Sinilille",,59.20616,24.46477,,,,5768
13356,23368-1,"Toominga",,59.23164,24.48121,,,,13356
13357,23369-1,"Toominga",,59.23149,24.48105,,,,13357
139319,47350-1,"Torupilli",,59.17216,24.49565,,,,5769
139320,47351-1,"Torupilli",,59.17219,24.49548,,,,5770
14481,23382-1,"Ääsmäe kool",,59.24541,24.50446,,,,14481
134562,47328-1,"Ööbiku",,59.30520,24.47904,,,,4405
134563,47329-1,"Ööbiku",,59.30516,24.47896,,,,4406
9475,23354-1,"Metsa",,59.35389,24.60610,,,,9475
9476,23355-1,"Metsa",,59.35350,24.60711,,,,9476
12953,00123-1,"Keskpäeva tee",,59.43384,24.56078,,,,12953
133449,00141-1,"Mõisa",,59.42676,24.65500,,,,4149
850,01902-1,"Astangu",,59.40463,24.63434,,,,850
129447,01901-1,"Astangu",,59.40452,24.63400,,,,179
851,01903-1,"Harku-Kadaka",,59.40493,24.63888,,,,851
852,01904-1,"Harku-Kadaka",,59.40462,24.63782,,,,852
139009,01905-1,"Jalami",,59.40494,24.62722,,,,5737
139010,01906-1,"Jalami",,59.40475,24.62897,,,,5738
128605,00310-1,"Meistri",,59.41633,24.65641,,,,131
132184,02114-1,"Päevalille",,59.42140,24.64953,,,,4014
132185,02115-1,"Päevalille",,59.42056,24.65009,,,,4016
132179,02112-1,"Rebasemägi",,59.41820,24.65376,,,,4012
132183,02113-1,"Rebasemägi",,59.41728,24.65454,,,,4013
845,01607-1,"Järveotsa kool",,59.40715,24.63963,,,,845
846,01608-1,"Järveotsa kool",,59.40695,24.64037,,,,846
839,01601-1,"Järveotsa tee",,59.40911,24.63241,,,,839
847,01609-1,"Järveotsa tee",,59.40893,24.63229,,,,847
137934,03608-1,"Rehe",,59.39793,24.63841,,,,4316
137935,03609-1,"Rehe",,59.39891,24.64169,,,,4318
