route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_commercialbus_206A,"206A","Tallinn - Saku - Kiisa - Aespa",,3,,,
harju_commercialbus_219,"219","Tallinn - Kurtna - Kiisa - Aespa - Entusiast",,3,,,
harju_commercialbus_237,"237","Tallinn - Vääna-Jõesuu - Keila-Joa - Lohusalu",,3,,,
harju_commercialbus_277,"277","Tallinn - Käsmu - Võsu",,3,,,
harju_train_R11,"R11","Tallinn - Pääsküla",,100,,,
harju_train_R12,"R12","Tallinn - Keila",,100,,,
harju_train_R13,"R13","Tallinn - Kloogaranna",,100,,,
harju_train_R14,"R14","Tallinn - Paldiski",,100,,,
harju_train_R15,"R15","Tallinn - Riisipere",,100,,,
harju_train_R16,"R16","Tallinn -Turba",,100,,,
harju_train_R31,"R31","Tallinn - Aegviidu",,100,,,
tallinna-lin_tram_1,"1","Kopli - Kadriorg",,900,,,
tallinna-lin_tram_2,"2","Kopli - Suur-Paala",,900,,,
tallinna-lin_tram_3,"3","Tondi - Kadriorg",,900,,,
tallinna-lin_tram_4,"4","Tondi - Lennujaam",,900,,,
tallinna-lin_trol_1,"1","Mustamäe - Kaubamaja",,800,,,
tallinna-lin_trol_3,"3","Mustamäe - Kaubamaja",,800,,,
tallinna-lin_trol_4,"4","Keskuse - Balti jaam",,800,,,
tallinna-lin_trol_5,"5","Mustamäe - Balti jaam",,800,,,
